recipe_id,search_term
56916,dessert
63189,dinner
63189,chicken
65447,dinner
77001,lunch
77001,low-sodium
77001,snack
82122,low-calorie
82122,low-sodium
82122,low-carb
82122,low-fat
82122,dinner
82122,southern
96058,cookie
96058,dessert
111577,low-calorie
111577,lunch
124701,bread
177950,dinner
177950,low-carb
204250,diabetic
204250,low-calorie
204250,low-carb
204250,dinner
204250,chicken
205535,low-calorie
205535,low-sodium
205535,dessert
205535,healthy
205535,side
205535,low-fat
205535,dinner
205535,southern
206084,lunch
206084,healthy
206084,low-fat
206084,bread
206084,breakfast
253590,diabetic
253590,salad
253590,thai
253590,dinner
253590,beef
291468,low-calorie
291468,soup
291468,low-sodium
291468,low-carb
291940,dinner
291940,vegetarian
291940,lunch
304497,dinner
306919,dessert
306919,italian
333077,appetizer
385382,breakfast
417212,dinner
479343,dinner
488916,dinner
488916,chicken
534806,healthy
534806,low-fat
534806,low-calorie
534806,low-carb
14813,low-calorie
14813,low-sodium
14813,pork
14813,low-carb
14813,dinner
20041,rice
20041,low-calorie
20041,low-sodium
20041,healthy
20041,side
20041,low-fat
20041,spanish
32129,dessert
32129,vegetarian
89952,healthy
89952,pork
89952,dinner
89952,low-calorie
104286,healthy
104286,low-calorie
104286,salad
113201,breakfast
120964,healthy
120964,side
120964,low-sodium
129377,dessert
129377,pie
184646,bread
194799,dinner
207684,dessert
207684,pudding
207684,bread
219435,dessert
223868,pork
223868,dinner
223868,salad
234183,appetizer
234183,dessert
234183,lunch
234183,snack
278617,dinner
278617,italian
278617,chicken
289634,low-calorie
289634,dinner
289634,low-sodium
289634,low-carb
308940,lunch
308940,bread
308940,snack
350746,healthy
350746,low-calorie
350746,low-fat
350746,low-sodium
329626,low-calorie
329626,low-sodium
329626,healthy
329626,low-carb
329626,low-fat
337682,cake
337682,dessert
338256,side
338256,vegetarian
347292,vegetarian
347292,lunch
347292,cookie
347292,dessert
347292,snack
379216,low-calorie
379216,low-sodium
379216,healthy
379216,low-carb
379216,low-fat
379216,soup
430309,low-calorie
430309,low-sodium
430309,healthy
430309,low-carb
430309,side
430309,low-fat
471641,vegetarian
471641,vegan
482922,french
507226,dinner
507226,low-calorie
507226,low-carb
507226,soup
522786,dinner
522786,low-calorie
522786,low-carb
522786,chicken
523426,dinner
523426,chicken
10983,cookie
10983,dessert
10983,low-sodium
16127,appetizer
16127,dinner
16127,vegetarian
36615,fish
36615,indian
159738,side
159738,low-calorie
159738,low-sodium
159738,low-carb
