recipe_id,ingredient_id
338986,3
367428,3
449143,3
484672,3
504511,3
60092,3
74891,3
83383,3
146554,3
255469,3
262388,3
287184,3
394099,3
407131,3
409063,3
437816,3
31307,3
41584,3
47474,3
70048,3
78746,3
81770,3
82971,3
111593,3
142259,3
186987,3
209055,3
211656,3
281849,3
353213,3
354811,3
358322,3
400659,3
525838,3
43729,3
58250,3
80502,3
100076,3
173532,3
194869,3
295297,3
326506,3
376359,3
410927,3
526906,3
55644,3
80037,3
107023,3
178280,3
234987,3
449689,3
326331,3
372207,3
389127,3
466198,3
485399,3
518222,3
20308,3
60169,3
68677,3
85679,3
91545,3
93245,3
140907,3
195619,3
243950,3
264840,3
265447,3
299170,3
430521,3
430873,3
86133,3
152817,3
182027,3
202428,3
211755,3
301166,3
307327,3
453725,3
482359,3
502535,3
227768,3
240311,3
279030,3
280599,3
284810,3
301834,3
408683,3
453787,3
454026,3
499215,3
43761,3
113071,3
176093,3
220946,3
313622,3
348735,3
375095,3
431254,3
437193,3
478267,3
488187,3
503249,3
16954,3
101783,3
125361,3
140017,3
157056,3
176524,3
272515,3
453684,3
366125,3
371396,3
438049,3
516697,3
49332,3
153620,3
303517,3
317097,3
332061,3
365485,3
413484,3
425794,3
453366,3
521699,3
57871,3
184304,3
251959,3
277209,3
335258,3
506153,3
510975,3
530649,3
64858,3
85327,3
118344,3
159465,3
218440,3
94908,3
266382,3
316469,3
352253,3
387007,3
36589,3
454096,3
464293,3
51325,3
74616,3
112831,3
140033,3
252924,3
259186,3
362319,3
375027,3
389287,3
403046,3
528179,3
19084,3
51935,3
62258,3
76095,3
114831,3
138647,3
153793,3
213760,3
421953,3
453484,3
454376,3
476671,3
500872,3
17349,3
31919,3
61316,3
99067,3
113273,3
147074,3
214039,3
253852,3
285673,3
361942,3
368138,3
375319,3
399125,3
469447,3
526086,3
19846,3
51065,3
56792,3
97553,3
122810,3
257807,3
316554,3
339223,3
368596,3
453217,3
488146,3
506274,3
528531,3
7015,3
31811,3
43671,3
179572,3
254275,3
269324,3
331630,3
341589,3
499503,3
232109,3
292720,3
315718,3
426394,3
458909,3
511428,3
526196,3
152270,3
169398,3
205223,3
237163,3
302409,3
320586,3
397444,3
426172,3
506466,3
508516,3
25976,3
51356,3
91681,3
171841,3
178944,3
227257,3
233484,3
295792,3
379178,3
430990,3
453145,3
521337,3
95733,3
173467,3
300029,3
314411,3
321138,3
325808,3
343946,3
349958,3
22686,3
47948,3
174525,3
379415,3
497083,3
109784,3
196888,3
318238,3
349663,3
397846,3
446505,3
487477,3
536435,3
6809,3
28657,3
31698,3
52667,3
104280,3
138372,3
152595,3
161313,3
368190,3
376155,3
404859,3
416114,3
489085,3
493220,3
496352,3
15024,3
179478,3
180631,3
237897,3
245130,3
263278,3
305470,3
306657,3
351767,3
396951,3
462759,3
528885,3
3470,3
11466,3
192886,3
248295,3
268108,3
288469,3
313764,3
364186,3
469495,3
485268,3
505858,3
31981,3
62710,3
77447,3
103443,3
107523,3
115753,3
129275,3
157902,3
227309,3
234257,3
313440,3
12237,3
90353,3
114103,3
116403,3
144257,3
354947,3
424493,3
488122,3
514847,3
26208,3
61826,3
131144,3
134257,3
147490,3
170954,3
172568,3
183312,3
387624,3
418359,3
433128,3
22588,3
205524,3
268788,3
327560,3
367889,3
434936,3
487807,3
39130,3
50156,3
87448,3
111660,3
155265,3
158064,3
183788,3
205988,3
249014,3
283683,3
306307,3
325700,3
364222,3
481441,3
635,3
38267,3
242848,3
314711,3
339524,3
340961,3
362687,3
382460,3
382473,3
387836,3
390025,3
489012,3
149375,3
175843,3
207753,3
329232,3
44260,3
391347,3
534588,3
52080,3
54719,3
44438,3
89913,3
111640,3
231743,3
325771,3
359333,3
365779,3
371499,3
487191,3
5098,3
202410,3
212334,3
242764,3
272548,3
311491,3
332154,3
358372,3
369885,3
384235,3
417791,3
7563,3
81592,3
101583,3
166143,3
196087,3
237783,3
289324,3
311259,3
37422,3
98604,3
116434,3
117838,3
127912,3
149550,3
253731,3
272854,3
381135,3
465676,3
38052,3
60881,3
133042,3
166728,3
178033,3
186452,3
207056,3
219906,3
233397,3
308119,3
373704,3
381065,3
531057,3
65758,3
71114,3
115269,3
153486,3
167926,3
180274,3
255253,3
311053,3
339764,3
444453,3
486021,3
531796,3
43897,3
73246,3
108742,3
148797,3
168199,3
186572,3
231490,3
282203,3
303855,3
491593,3
47882,3
86220,3
152146,3
154504,3
177952,3
197451,3
231383,3
307661,3
348092,3
392890,3
398730,3
441962,3
134829,3
140216,3
148709,3
163154,3
281760,3
288932,3
399733,3
429882,3
47865,3
492090,3
494471,3
258897,3
17430,3
198430,3
32600,3
75536,3
89516,3
48101,3
165296,3
169196,3
282096,3
333893,3
354078,3
399916,3
408744,3
465912,3
498903,3
1306,3
33289,3
57483,3
133940,3
216632,3
257107,3
281437,3
306099,3
314778,3
370642,3
47812,3
106873,3
192818,3
249744,3
343002,3
356795,3
385453,3
397970,3
398156,3
431927,3
500855,3
56572,3
103652,3
152952,3
170181,3
385831,3
396368,3
399954,3
430515,3
521598,3
303273,3
90871,3
107787,3
163766,3
265000,3
271716,3
352973,3
535955,3
71696,3
84432,3
147729,3
186064,3
251546,3
363061,3
399312,3
443001,3
483673,3
38777,3
47706,3
140283,3
166242,3
195393,3
284440,3
292618,3
300233,3
405447,3
408787,3
410995,3
439996,3
440383,3
495712,3
498946,3
504883,3
23044,3
35344,3
108048,3
117577,3
151622,3
243618,3
287531,3
448822,3
501734,3
12374,3
40358,3
75098,3
85139,3
357623,3
366363,3
399968,3
438650,3
457496,3
463687,3
6790,3
73634,3
111928,3
152275,3
262692,3
357940,3
367074,3
388008,3
422520,3
422547,3
448283,3
463639,3
473163,3
511079,3
33350,3
536489,3
128288,3
128868,3
133524,3
140589,3
164568,3
256098,3
288750,3
307363,3
349451,3
432306,3
527300,3
53533,3
112871,3
133021,3
197950,3
228641,3
378583,3
449312,3
522757,3
535756,3
86669,3
120343,3
198615,3
289132,3
387425,3
404697,3
436800,3
352909,3
443000,3
376,3
22119,3
136026,3
171265,3
209866,3
213288,3
214842,3
277848,3
308249,3
365178,3
368764,3
474182,3
206353,3
33756,3
36984,3
37263,3
70691,3
74100,3
76294,3
81531,3
98884,3
126959,3
137237,3
179622,3
226668,3
267885,3
291758,3
325406,3
358468,3
393293,3
165241,3
510521,3
39490,3
67548,3
88453,3
105915,3
121635,3
141673,3
159432,3
201653,3
426911,3
436512,3
8109,3
19633,3
34658,3
53643,3
144828,3
164829,3
302838,3
319562,3
232067,3
232068,3
232069,3
232113,3
232116,3
10160,3
13009,3
22011,3
26076,3
163857,3
167798,3
195794,3
225568,3
343171,3
353675,3
396197,3
453606,3
455738,3
461853,3
520299,3
7598,3
118971,3
125151,3
254101,3
